,Country_Name,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
32,Afghanistan,0.583,-0.237,0.213,0.21,0.361,-0.048,0.49,0.988,-0.122,0.847,-0.058,-0.214,0.292,0.554,0.474,-0.016,0.592,0.795,1.301,1.109,1.366,1.384,0.615,1.427,0.491,1.78,0.736,0.804,0.929,1.646,1.446,0.234,1.308,0.457
66,Albania,-0.313,0.237,-0.059,-0.212,-0.042,0.629,-0.049,0.43,-0.005,0.814,-0.263,0.105,0.117,1.37,-0.136,0.003,0.113,0.838,0.722,1.112,1.555,0.492,1.023,0.462,0.255,0.426,1.45,1.103,1.009,1.274,1.108,1.568,1.444,1.322
100,Algeria,0.2,0.388,0.576,0.007,0.513,0.299,0.99,1.346,0.386,1.27,0.034,-0.318,0.541,0.72,0.583,0.823,1.018,1.077,1.456,0.798,1.827,1.222,1.567,0.964,1.238,1.373,1.198,1.164,0.927,2.249,1.39,1.128,1.173,1.676
134,American Samoa,0.172,0.249,0.288,0.255,0.234,0.371,0.33,0.516,0.163,0.516,0.82,0.674,0.196,0.286,0.798,0.772,,,0.243,0.67,0.948,1.196,0.719,0.215,0.844,0.446,0.894,0.46,,1.047,0.642,0.646,0.883,0.554
168,Andorra,0.167,1.048,0.856,-0.159,0.058,0.392,0.353,0.856,1.152,1.724,0.215,0.368,0.175,1.502,1.245,0.535,1.736,0.98,1.02,1.015,1.476,0.828,1.946,0.919,0.835,1.463,0.974,0.891,1.358,0.411,1.617,1.196,0.757,1.857
202,Angola,0.019,0.235,0.597,0.722,0.724,0.199,0.808,0.677,0.097,0.808,0.44,0.606,0.401,0.373,0.88,0.511,0.361,1.264,0.591,0.316,0.425,0.868,1.058,0.558,1.21,0.636,0.955,0.601,0.744,1.303,0.923,0.576,1.09,0.879
236,Anguilla,0.556,0.128,0.505,0.075,-0.04,-0.003,0.539,0.402,-0.1,0.344,0.394,0.36,0.477,0.513,0.661,0.392,0.54,1.126,0.598,0.276,0.611,0.776,0.918,0.549,0.826,0.6,0.876,0.344,0.577,1.107,0.507,0.652,0.778,0.821
270,Antarctica,0.705,-0.032,-0.693,0.129,0.177,-0.271,-0.701,0.953,-0.439,0.287,0.675,0.333,-0.718,-0.056,-0.225,0.81,-0.516,-0.414,-0.558,-0.78,-0.074,1.281,-0.458,0.148,0.855,-0.036,0.71,0.575,1.316,0.84,0.749,-0.202,1.738,0.556
304,Antigua and Barbuda,0.579,0.183,0.45,-0.049,-0.111,-0.094,0.571,0.309,-0.164,0.367,0.485,0.511,0.501,0.438,0.683,0.432,0.591,1.158,0.611,0.384,,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723
338,Argentina,0.358,0.341,0.029,-0.109,0.292,0.456,0.435,-0.206,0.591,0.422,0.256,-0.253,0.084,0.486,0.254,0.515,0.762,0.35,0.158,-0.187,0.415,0.28,0.615,0.421,0.228,0.547,-0.219,0.55,0.793,0.102,0.36,0.787,0.437,0.951
372,Armenia,,,,,,,,,,,,-1.294,-0.947,0.479,0.708,0.499,0.672,1.371,1.527,1.038,1.412,1.125,0.117,1.144,0.51,1.627,0.682,0.811,0.681,2.805,0.676,1.272,1.407,1.258
406,Aruba,0.379,0.355,0.681,0.147,-0.207,-0.042,0.692,0.453,-0.151,0.122,0.364,0.523,,0.336,0.589,0.689,0.387,1.13,0.216,-0.069,0.531,0.688,0.796,0.338,0.493,0.49,0.867,0.276,0.703,1.25,0.354,0.554,1.017,0.804
440,Australia,0.466,0.159,0.608,-0.186,0.323,0.358,0.329,0.932,0.132,0.534,0.806,0.268,0.466,0.199,0.398,0.582,0.363,1.062,0.56,0.124,0.311,0.706,0.807,0.698,1.181,0.683,0.887,0.582,0.986,0.624,0.156,0.258,1.459,1.166
474,Austria,0.279,0.389,1.068,-0.242,-0.56,0.325,-0.256,0.827,1.11,1.268,0.13,1.25,0.529,1.962,0.943,-0.198,0.517,1.347,0.985,1.768,1.504,1.539,1.473,0.839,0.638,0.921,2.15,1.593,1.552,0.662,1.381,1.791,1.103,2.427
508,Azerbaijan,,,,,,,,,,,,-0.823,-1.003,0.105,1.023,0.259,0.606,1.204,1.242,1.115,1.425,1.416,-0.125,1.331,0.879,1.528,0.98,0.928,0.799,2.356,0.768,1.475,1.565,1.242
542,Bahamas,-0.037,0.524,0.201,0.082,0.301,0.291,0.524,0.49,0.731,0.832,0.845,0.349,0.439,0.862,0.736,0.084,0.859,1.011,0.704,0.29,0.229,0.952,1.096,0.42,0.48,0.424,0.973,0.893,0.494,0.399,0.453,0.452,0.677,0.994
576,Bahrain,0.319,-0.214,-0.988,-0.12,0.215,0.505,0.374,0.452,-0.139,0.164,-0.442,-0.739,-0.074,0.792,0.038,0.476,0.152,1.205,1.882,1.05,1.136,1.492,1.157,1.274,0.945,1.682,0.885,1.127,1.017,1.993,1.207,1.152,1.274,1.67
610,Bangladesh,-0.208,-0.062,-0.15,-0.332,0.047,0.027,0.33,0.328,0.094,-0.167,-0.021,-0.115,-0.403,0.203,0.176,0.146,-0.158,0.486,0.74,0.209,0.339,0.4,0.251,0.291,0.631,0.845,0.337,0.129,0.915,0.849,0.176,0.343,0.267,0.482
644,Barbados,0.065,-0.077,0.051,-0.266,-0.453,-0.327,0.371,0.229,0.058,0.198,0.263,0.183,0.256,0.261,0.384,0.257,0.287,1.103,0.498,0.349,0.563,0.531,0.781,0.564,0.998,0.723,0.573,0.227,0.357,1.091,0.615,0.432,0.786,0.447
678,Belarus,,,,,,,,,,,,1.271,0.023,1.139,1.498,-0.276,0.358,0.704,1.504,1.94,1.977,1.891,0.08,0.926,1.271,0.642,2.357,2.247,1.593,1.434,0.989,1.526,1.169,2.137
712,Belgium,,,,,,,,,,,,,,,,,,,,1.468,1.317,1.378,1.505,1.07,1.178,1.379,1.864,1.238,1.142,0.215,1.268,1.113,0.449,2.399
746,Belgium-Luxembourg,0.191,0.507,0.836,-0.037,-0.817,-0.134,-0.408,0.742,1.432,1.48,0.25,1.004,0.349,1.591,1.488,-0.512,0.666,1.012,1.428,,,,,,,,,,,,,,,
780,Belize,-0.049,0.568,0.723,0.233,0.526,0.182,0.402,0.534,0.272,0.434,0.613,0.324,0.345,0.639,0.665,0.126,0.791,0.827,0.313,0.041,0.305,0.611,0.833,0.582,0.724,0.526,0.727,0.453,0.793,0.711,0.588,0.508,0.648,0.616
814,Benin,0.208,0.26,0.564,0.575,0.458,0.37,1.039,0.695,0.015,0.652,0.377,0.044,0.593,0.496,0.468,0.797,0.645,1.12,0.708,0.542,0.623,0.811,1.049,0.828,1.201,1.136,0.927,0.731,1.066,1.349,1.074,0.719,0.989,1.087
848,Bhutan,0.148,-0.151,-0.329,-0.114,0.04,-0.133,0.181,0.487,0.16,-0.157,0.078,-0.287,-0.356,0.214,0.412,0.203,-0.424,0.688,0.87,0.048,0.569,0.366,0.407,0.382,0.656,0.872,0.9,0.482,1.326,1.137,0.465,0.365,0.667,0.758
882,Bolivia (Plurinational State of),0.11,0.274,0.482,0.308,0.433,0.523,0.756,0.347,0.085,0.145,0.593,0.038,0.402,0.913,0.797,0.372,0.938,0.935,0.301,0.274,0.432,0.741,0.479,0.61,0.553,0.704,0.313,0.155,0.493,0.51,0.942,0.674,0.419,0.811
916,Bosnia and Herzegovina,,,,,,,,,,,,0.682,0.279,1.721,0.316,-0.011,0.146,1.094,0.646,1.554,1.56,1.178,1.134,0.632,0.178,0.651,1.927,1.434,1.445,1.026,1.173,1.813,1.379,1.887
950,Botswana,-0.39,0.418,1.087,0.508,0.363,0.456,1.405,0.449,-0.115,0.962,0.234,1.082,0.759,0.081,1.329,-0.112,0.262,1.211,0.904,-0.356,0.157,0.762,1.135,0.252,1.404,-0.418,0.414,0.358,-0.058,1.173,0.377,0.809,1.071,0.207
984,Brazil,0.188,0.277,0.478,0.285,0.108,0.28,0.708,0.48,0.166,0.476,0.497,0.433,0.53,0.616,0.799,0.521,0.714,1.272,0.565,0.53,0.736,1.038,0.907,0.766,1.091,0.778,0.971,0.72,0.942,1.099,0.782,1.006,0.921,1.157
1018,British Virgin Islands,0.532,0.073,0.561,0.2,0.032,0.088,0.508,0.494,-0.037,0.321,0.301,0.209,0.454,0.682,0.786,0.385,0.489,1.095,0.586,0.168,0.614,0.807,0.871,0.532,0.787,0.638,0.904,0.385,0.673,1.067,0.437,0.622,0.79,0.918
1052,Brunei Darussalam,0.067,0.059,0.574,-0.059,0.112,0.016,0.436,0.482,0.056,0.456,0.337,0.267,0.114,0.316,0.354,0.252,0.545,1.22,0.438,0.348,0.478,0.587,0.716,0.512,0.867,0.535,0.547,0.283,0.684,0.755,0.433,0.681,0.874,0.815
1086,Bulgaria,-0.061,-0.139,0.376,-0.031,-0.615,0.345,-0.496,0.122,0.4,0.788,-0.162,0.139,-0.329,1.582,0.219,-0.358,-0.333,0.779,0.694,1.183,1.629,0.833,0.159,0.496,0.18,0.538,1.858,1.165,1.273,1.335,0.399,1.659,1.462,1.207
1120,Burkina Faso,0.306,0.195,0.742,0.824,0.495,0.379,1.058,0.624,0.028,0.633,0.567,0.017,0.775,0.362,0.452,0.966,0.679,1.056,0.615,0.601,0.572,1.078,1.053,0.935,1.512,1.231,0.949,0.382,1.021,1.347,1.088,0.573,0.93,0.981
1154,Burundi,,0.724,0.829,,,0.702,0.785,0.528,0.27,0.586,0.201,0.312,,,,,,0.853,,,0.628,1.037,1.18,1.279,,,1.388,,,,,,,
1188,Cabo Verde,0.637,0.877,0.873,,0.469,0.339,1.373,1.181,1.316,1.68,1.046,1.254,0.875,0.808,1.841,1.964,2.02,2.146,1.161,1.405,1.695,1.722,1.236,1.329,1.538,1.722,1.188,1.669,1.134,,1.737,1.703,1.684,1.437
1222,Cambodia,0.291,0.079,0.446,0.098,0.243,0.046,0.592,0.321,0.239,0.58,0.493,0.441,0.309,0.39,0.617,0.292,0.339,1.338,0.399,0.253,0.623,0.74,0.713,0.617,0.77,0.749,0.628,0.467,0.442,1.212,0.394,0.863,1.014,0.623
1256,Cameroon,0.156,0.069,0.173,0.253,0.103,0.175,0.58,0.365,-0.193,0.689,0.71,-0.184,0.435,0.529,0.613,0.625,0.735,1.284,0.803,0.533,0.322,0.845,0.979,0.907,1.117,1.082,0.746,0.712,1.194,1.251,0.72,0.56,0.775,0.885
1290,Canada,1.566,-0.665,0.497,0.347,-0.296,0.021,1.35,1.213,0.034,0.09,0.35,0.116,0.362,0.487,0.956,-0.102,0.45,2.49,1.711,1.309,1.438,0.559,1.258,0.506,1.302,2.359,1.345,0.868,0.551,2.928,1.457,2.165,1.203,0.298
1324,Cayman Islands,0.073,0.634,0.429,0.325,0.214,0.378,0.718,0.808,0.889,1.003,0.933,0.678,0.87,1.399,1.021,0.441,0.999,0.923,0.453,,,,,,0.649,0.585,0.737,0.544,0.448,0.65,0.336,0.404,0.559,0.767
1358,Central African Republic,0.003,0.322,0.454,0.144,0.206,0.552,0.599,0.45,-0.014,0.438,0.559,-0.349,0.459,0.697,0.288,0.279,0.241,1.231,0.583,0.771,0.468,0.854,0.93,1.057,1.071,0.998,0.559,0.66,1.153,1.137,0.774,0.494,0.825,0.682
1392,Chad,0.214,0.48,0.151,0.66,0.355,0.799,0.493,0.292,-0.16,0.454,0.593,-0.27,0.289,0.392,0.25,0.677,0.227,0.826,0.563,0.335,0.247,0.725,0.802,0.827,1.162,1.337,0.552,0.417,1.212,1.217,0.971,0.537,0.99,0.831
1426,Channel Islands,0.203,0.55,0.485,0.276,-0.49,-0.661,-0.252,0.432,1.485,1.483,0.057,0.449,0.096,1.088,1.531,0.109,0.905,0.824,1.343,0.887,1.11,1.035,1.384,0.986,1.166,1.138,1.306,0.843,0.744,0.169,1.129,0.802,0.588,1.791
1460,Chile,0.315,0.343,0.537,-0.148,0.289,0.056,0.579,0.047,0.304,0.207,0.106,-0.121,0.213,0.24,-0.01,0.255,0.761,0.744,0.284,-0.167,0.059,0.154,0.302,0.505,0.196,0.529,-0.287,0.425,0.441,-0.041,0.166,0.671,0.423,0.467
1494,China,0.22,0.38,0.125,-0.146,-0.121,-0.04,0.43,0.397,0.422,0.844,0.51,0.112,0.265,0.717,0.56,0.195,0.717,1.246,1.21,0.553,1.019,1.112,0.8,1.082,1.02,1.203,1.508,1.061,1.309,0.94,0.761,0.595,1.048,1.043
1528,"China, Hong Kong SAR",0.399,0.084,-0.197,-0.533,-0.3,0.005,0.824,-0.147,0.215,0.221,0.67,-0.293,0.237,0.28,-0.087,-0.033,0.232,0.878,0.898,0.226,0.781,0.89,0.921,0.632,0.707,0.888,1.0,0.401,0.939,0.431,0.395,0.58,0.818,0.725
1562,"China, Macao SAR",0.399,0.084,-0.197,-0.533,-0.3,0.005,0.824,-0.147,0.215,0.221,0.67,-0.293,0.237,0.28,-0.087,-0.033,0.232,0.878,0.898,0.226,0.781,0.89,0.921,0.632,0.707,0.888,1.0,0.401,0.939,0.431,0.395,0.58,0.818,0.725
1596,"China, mainland",0.22,0.382,0.124,-0.145,-0.121,-0.039,0.43,0.398,0.424,0.846,0.51,0.113,0.265,0.719,0.562,0.196,0.719,1.246,1.212,0.554,1.02,1.113,0.8,1.085,1.022,1.205,1.511,1.063,1.311,0.942,0.764,0.596,1.05,1.044
1630,"China, Taiwan Province of",0.134,-0.111,0.285,-0.526,-0.035,-0.208,0.359,0.22,-0.016,0.244,0.485,-0.1,0.316,0.325,0.158,-0.02,0.105,1.162,0.691,0.389,0.744,0.889,0.832,0.399,0.622,0.679,0.747,0.542,0.73,0.482,0.021,0.309,0.616,0.702
1664,Christmas Island,,,,0.102,,,0.287,0.28,0.069,0.381,0.101,0.15,0.134,,,0.391,,0.684,-0.028,-0.055,0.239,0.327,0.436,0.212,0.702,-0.06,0.312,-0.125,0.06,,-0.061,0.252,0.746,0.665
1698,Cocos (Keeling) Islands,-0.21,-0.28,0.647,0.163,0.101,-0.31,0.399,0.376,0.199,0.312,0.426,0.168,0.17,-0.029,0.391,0.616,0.303,1.217,1.171,0.309,0.137,0.687,0.501,0.367,0.643,0.337,0.56,0.531,0.538,0.905,0.626,0.809,0.883,0.868
1732,Colombia,0.142,0.177,0.645,-0.209,-0.007,-0.004,0.574,0.345,-0.052,0.283,0.367,0.505,0.232,0.215,0.485,0.13,0.535,0.932,-0.04,-0.078,0.378,0.616,0.642,0.532,0.645,0.511,0.575,0.272,0.753,0.916,0.348,0.559,0.693,0.69
1766,Comoros,0.075,0.506,,-0.496,,-0.066,0.388,0.395,-0.3,0.087,0.233,0.053,0.167,0.528,0.409,-0.053,0.253,0.752,0.197,0.163,0.312,0.767,0.444,0.368,0.463,0.269,0.602,0.234,0.493,0.734,0.37,0.334,0.223,0.312
1800,Congo,-0.127,-0.113,0.353,0.162,-0.124,0.088,0.511,0.338,-0.206,0.088,0.24,-0.182,0.116,0.398,0.629,0.102,,1.142,0.684,0.477,0.448,0.845,0.892,0.92,0.891,0.814,0.918,0.843,0.877,1.304,0.659,0.663,0.888,0.836
1834,Cook Islands,0.191,0.143,0.307,0.166,0.191,0.42,0.192,0.499,0.278,0.325,0.432,0.427,0.174,0.504,0.738,0.708,0.296,0.381,1.264,0.914,0.983,0.874,0.813,0.868,0.755,0.954,0.984,0.848,0.687,1.185,1.04,0.781,1.008,0.798
1868,Costa Rica,0.135,,,-0.073,-0.155,,0.53,-0.022,-0.066,0.46,0.434,0.396,0.178,0.383,0.595,-0.106,0.615,0.842,-0.477,-0.297,0.361,0.637,0.597,0.527,0.337,0.522,0.491,0.084,0.782,0.714,0.288,,,
1902,Côte d'Ivoire,0.273,0.182,0.67,0.517,0.255,0.238,1.032,0.734,0.337,0.635,0.515,0.306,0.554,0.582,0.733,0.81,0.726,1.348,0.565,0.486,0.568,0.884,1.152,0.843,1.111,1.0,1.097,0.817,1.01,1.349,1.044,0.721,0.99,0.897
1936,Croatia,,,,,,,,,,,,0.829,0.402,1.715,0.431,-0.029,0.313,1.157,0.706,1.623,1.596,1.266,1.287,0.68,0.307,0.735,1.995,1.468,1.51,0.878,1.269,1.857,1.282,2.044
1970,Cuba,-0.013,0.595,0.317,0.303,0.251,0.379,0.75,0.611,0.689,0.851,0.913,0.623,0.64,1.015,1.046,0.219,0.819,1.019,0.718,0.535,0.515,0.835,0.88,0.611,0.576,0.728,0.713,0.423,0.777,0.469,0.316,0.39,0.661,0.859
2004,Cyprus,0.097,-0.326,-0.799,0.007,-0.078,0.235,-0.285,0.018,0.073,0.049,0.345,-0.964,-0.457,1.015,0.026,0.221,-0.028,0.921,1.05,0.589,1.119,0.811,0.564,0.603,0.329,0.615,0.804,1.021,0.973,1.981,0.692,0.949,1.221,1.066
2038,Czechia,,,,,,,,,,,,,0.286,1.797,1.03,-0.617,0.118,1.247,1.1,1.902,1.219,1.523,1.074,0.814,0.742,0.948,2.161,1.635,1.413,0.396,1.029,1.57,0.77,2.494
2072,Czechoslovakia,0.278,0.274,1.15,-0.089,-0.997,0.262,-0.656,0.556,1.166,1.249,0.08,1.05,,,,,,,,,,,,,,,,,,,,,,
2106,Democratic People's Republic of Korea,-0.584,0.923,0.609,-0.14,0.17,-0.685,0.251,0.588,1.257,1.353,0.615,0.785,0.59,1.385,0.722,0.313,1.021,1.809,1.423,0.64,0.914,0.914,0.995,1.634,0.888,0.734,1.645,1.553,1.117,0.428,0.557,0.457,0.329,1.517
2140,Democratic Republic of the Congo,0.168,0.198,0.572,0.258,0.183,0.35,0.678,0.61,0.024,0.284,0.442,-0.072,0.199,0.419,0.548,0.11,0.521,0.971,0.446,0.532,0.515,0.987,0.985,0.974,1.008,0.824,0.799,0.675,0.9,1.326,0.827,0.485,1.1,1.093
2174,Denmark,0.304,0.006,1.065,0.386,-0.996,-0.437,-0.98,0.926,1.802,1.845,0.617,1.451,0.236,0.97,1.308,-0.749,0.654,0.872,1.337,1.722,1.048,1.658,0.712,1.036,1.284,1.352,2.136,1.858,1.324,-0.195,0.684,1.145,0.401,2.681
2208,Djibouti,0.108,0.196,0.345,-0.086,0.059,-0.045,0.218,0.574,-0.105,0.522,0.49,0.456,0.32,0.285,0.653,0.762,0.651,0.972,0.425,0.845,0.802,1.375,1.458,0.952,1.217,0.901,0.877,0.314,1.418,1.047,0.916,,1.293,1.178
2242,Dominica,0.437,0.117,0.436,-0.061,-0.089,-0.019,0.568,0.376,-0.144,0.414,0.408,0.304,0.441,0.547,0.663,0.451,0.655,1.089,0.525,0.35,0.544,0.695,0.92,0.557,0.862,0.732,0.877,0.405,0.552,1.23,0.633,0.744,0.753,0.739
2276,Dominican Republic,0.506,0.343,0.683,0.369,0.214,0.333,0.847,0.635,0.305,0.714,0.466,0.283,0.428,0.855,0.926,0.689,0.967,1.411,0.962,0.597,0.954,0.971,1.175,0.761,1.0,0.942,1.193,0.622,0.738,1.269,0.629,0.83,1.059,1.039
2310,Ecuador,0.074,0.54,1.058,-0.222,-0.153,0.131,1.033,0.334,-0.102,0.442,0.362,0.595,0.372,0.257,0.599,-0.072,1.005,1.168,0.161,0.19,0.398,0.669,0.698,0.668,0.657,0.624,0.641,0.516,0.843,0.678,0.471,0.474,0.246,0.873
2344,Egypt,-0.247,-0.446,-1.169,-0.275,0.198,0.071,-0.36,0.162,-0.264,-0.138,0.362,-0.666,-0.059,0.522,0.057,0.281,-0.071,0.655,0.734,-0.036,0.59,0.766,0.68,0.586,0.466,0.679,0.556,0.879,0.865,2.268,0.553,0.871,0.981,1.177
2378,El Salvador,-0.005,0.316,0.657,0.033,0.129,0.232,0.573,0.501,0.246,0.541,0.542,0.534,0.292,0.673,0.684,0.302,0.998,1.065,0.433,0.265,0.57,0.948,1.09,0.869,0.706,0.672,0.675,0.44,1.011,0.688,0.678,0.806,0.792,0.794
2412,Equatorial Guinea,0.104,-0.077,0.179,0.221,0.022,-0.058,0.407,0.337,0.022,0.219,,-0.151,0.138,0.352,1.025,0.534,,1.086,0.611,0.449,0.435,0.727,0.994,0.849,0.87,0.73,0.906,0.775,0.891,0.996,0.662,0.599,0.757,0.823
2446,Eritrea,,,,,,,,,,,,,,,,0.168,0.365,0.515,0.881,0.614,0.547,1.129,0.711,1.173,0.835,0.972,0.28,1.127,1.784,1.642,1.415,1.439,1.191,0.902
2480,Estonia,,,,,,,,,,,,1.588,0.525,0.348,1.731,-0.369,0.917,0.521,1.502,2.043,1.82,1.466,0.218,1.159,1.579,1.237,2.24,2.582,1.597,0.52,1.276,1.442,1.157,2.403
2514,Eswatini,-0.431,0.19,0.929,-0.029,0.541,0.291,0.543,0.601,0.152,0.285,0.519,1.141,0.736,-0.001,0.59,-0.047,0.235,0.942,0.492,-0.073,0.55,0.693,0.794,0.65,0.93,0.055,0.801,0.437,0.266,1.074,1.067,0.464,0.421,0.561
2548,Ethiopia,,,,,,,,,,,,,0.192,0.524,0.75,0.724,0.648,0.807,0.372,0.622,0.78,1.089,1.127,0.878,1.165,1.008,0.893,0.808,1.369,1.29,1.15,1.078,1.244,1.201
2582,Ethiopia PDR,0.28,0.091,0.134,0.543,0.438,0.229,0.382,0.824,0.095,0.593,0.532,0.138,,,,,,,,,,,,,,,,,,,,,,
2616,Falkland Islands (Malvinas),0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,Faroe Islands,-0.38,0.196,-0.306,0.439,-0.179,-0.196,0.138,0.203,0.424,0.676,0.977,0.67,0.04,-0.073,-0.22,0.28,0.824,0.608,0.51,0.216,0.476,1.048,1.617,1.033,0.495,1.142,0.959,0.895,1.448,0.265,1.06,0.366,0.603,1.772
2684,Fiji,0.178,0.139,0.081,0.297,0.271,-0.16,0.086,0.696,0.109,0.238,0.052,0.144,-0.214,-0.041,0.441,0.486,0.228,0.834,0.612,0.762,0.779,0.762,0.653,0.574,0.729,0.666,1.029,0.601,0.38,0.961,0.933,0.615,0.965,0.753
2718,Finland,-0.237,-0.153,0.966,0.759,-1.173,-0.179,-1.652,0.579,2.175,1.246,1.133,1.159,0.929,0.135,1.693,0.131,0.777,0.064,1.153,2.019,1.361,1.166,0.707,1.225,2.195,1.2,1.94,2.125,1.685,0.232,1.345,1.533,1.414,2.584
2752,France,0.079,0.796,0.704,-0.098,-0.351,-0.017,-0.024,0.751,1.254,1.567,0.226,0.631,0.302,1.526,1.296,0.158,1.21,0.915,1.17,1.141,1.355,1.01,1.752,0.924,0.968,1.256,1.349,0.933,1.148,0.326,1.462,1.146,0.638,1.965
2786,French Guyana,0.139,0.007,0.45,-0.199,-0.082,0.074,0.575,0.358,-0.094,0.18,0.243,0.376,0.291,0.255,0.691,0.342,0.499,1.221,0.468,0.375,0.438,0.587,0.809,0.825,1.274,0.685,1.01,0.697,1.035,1.249,0.827,0.816,1.053,1.101
2820,French Polynesia,0.147,0.317,0.178,0.391,0.131,0.254,0.434,0.327,0.143,0.364,0.316,0.328,0.118,0.523,0.56,0.168,0.315,0.634,0.456,0.329,0.5,0.795,0.703,0.531,0.675,0.847,0.856,0.363,0.808,0.767,0.22,0.728,0.541,0.62
2854,French Southern Territories,0.458,0.905,0.115,-0.004,0.409,,0.612,-0.497,0.555,,0.726,0.264,0.732,-0.006,0.117,-0.007,0.705,0.445,0.295,0.582,0.423,0.412,0.275,0.436,-0.053,0.084,-0.095,0.153,-0.05,0.075,0.057,0.581,-0.046,-0.468
2888,Gabon,-0.134,-0.312,0.185,0.172,-0.188,-0.1,0.3,0.253,-0.06,0.133,0.088,-0.177,0.152,0.194,0.655,0.153,0.329,1.147,0.608,0.351,0.312,0.694,0.897,0.816,0.753,0.741,0.938,0.854,0.868,0.979,0.568,0.548,0.727,0.753
2922,Gambia,0.608,0.31,1.115,0.627,0.387,0.647,1.038,0.889,0.747,1.265,0.957,1.0,1.196,0.904,0.986,1.274,1.446,1.673,0.877,1.09,1.434,1.534,1.198,1.224,1.542,1.276,1.155,1.446,0.745,1.377,1.107,0.963,1.081,1.312
2956,Georgia,,,,,,,,,,,,-1.151,-1.212,0.456,0.751,0.203,0.303,1.288,1.25,0.969,1.277,1.036,-0.258,0.915,0.556,1.28,0.888,0.668,0.693,2.488,0.428,1.219,1.388,1.247
2990,Germany,0.293,0.436,1.067,-0.115,-0.804,-0.011,-0.565,0.887,1.484,1.565,0.279,1.22,0.304,1.618,1.301,-0.706,0.551,1.146,1.36,1.755,1.281,1.478,1.248,0.988,1.015,1.248,2.08,1.532,1.27,0.182,1.108,1.338,0.571,2.506
3024,Ghana,0.209,0.202,0.728,0.709,0.395,0.345,1.018,0.719,0.284,0.573,0.44,0.191,0.535,0.62,0.769,0.739,0.58,1.231,0.67,0.51,0.644,0.908,1.073,0.816,1.043,1.062,1.022,0.805,0.99,1.39,0.992,0.712,0.937,0.988
3058,Gibraltar,0.356,0.48,0.379,-0.151,0.586,0.216,0.489,0.782,0.94,1.231,0.146,0.207,-0.092,0.762,1.312,0.708,1.404,1.058,0.67,0.786,1.244,0.831,1.369,0.993,0.814,1.403,0.787,0.939,1.248,1.316,1.623,0.965,0.883,1.471
3092,Greece,-0.203,-0.25,-0.502,-0.135,-0.077,0.296,-0.405,0.118,-0.217,0.34,-0.218,-0.548,-0.341,1.052,-0.045,-0.169,-0.204,0.622,0.788,0.667,1.298,0.415,0.377,0.327,0.209,0.247,1.068,0.872,0.758,1.551,0.365,1.21,1.3,1.028
3126,Greenland,-0.37,-0.647,-2.069,-1.462,0.883,0.373,-0.129,0.504,-1.546,-0.356,-0.298,-1.234,-1.364,-0.434,-0.337,0.657,0.38,1.259,0.51,0.829,0.822,1.176,2.317,1.456,1.867,1.708,1.353,0.948,0.84,3.046,1.672,1.614,1.368,1.435
3160,Grenada,0.362,0.095,0.381,0.005,-0.389,-0.12,0.51,0.513,-0.124,0.242,0.263,0.285,0.352,0.444,0.692,0.449,0.59,1.159,0.6,0.449,0.663,0.576,0.878,0.428,0.934,0.633,0.578,0.428,0.451,1.167,0.654,0.568,0.807,0.685
