,Country_Name,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
6424,Saint Vincent and the Grenadines,0.364,0.098,0.386,0.009,-0.385,-0.113,0.513,0.526,-0.115,0.25,0.266,0.288,0.344,0.446,0.691,0.447,0.588,1.159,0.598,0.447,0.663,0.58,0.885,0.434,0.933,0.637,0.585,0.434,0.449,1.166,0.661,0.565,0.806,0.686
6458,Samoa,-0.033,0.162,0.259,0.105,0.077,0.197,0.122,0.426,-0.035,0.398,0.632,0.559,0.093,0.265,0.712,0.695,,,0.167,0.585,0.862,1.11,0.64,0.132,0.766,0.356,0.806,0.362,,0.956,0.499,0.56,0.798,0.459
6492,San Marino,-0.333,0.406,0.432,-0.582,0.172,0.331,0.093,0.762,0.263,0.994,-0.078,0.502,0.512,1.518,0.293,0.21,0.93,1.109,0.839,1.363,1.628,1.075,1.587,0.808,0.399,0.816,1.773,1.19,1.279,0.614,1.202,1.612,0.918,1.485
6526,Sao Tome and Principe,0.197,0.03,0.167,0.406,0.115,-0.089,0.443,0.433,-0.067,,,0.016,0.488,0.364,0.948,,,1.293,0.995,0.526,0.364,0.787,1.04,0.869,0.778,0.857,1.087,0.81,1.014,1.034,0.708,0.783,0.83,0.887
6560,Saudi Arabia,0.063,-0.481,-0.944,-0.384,-0.083,0.148,0.472,0.388,-0.192,-0.024,0.288,-1.039,-0.252,0.602,0.157,0.544,-0.028,1.008,1.468,0.742,0.864,1.083,0.976,0.95,0.507,1.155,0.678,0.862,0.991,2.137,0.821,1.204,1.183,1.264
6594,Senegal,0.758,0.334,1.239,0.639,0.511,0.462,0.989,0.864,0.589,1.208,0.821,0.905,1.126,0.635,0.947,1.236,1.367,1.571,0.618,0.956,1.176,1.452,1.158,1.132,1.347,1.351,1.208,1.292,0.688,1.418,1.151,0.83,1.172,1.143
6628,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,0.588,1.926,1.371,1.403,1.207,0.768,1.725,1.45,1.641
6662,Serbia and Montenegro,,,,,,,,,,,,0.462,0.036,1.718,0.209,-0.071,-0.123,0.992,0.566,1.457,1.526,1.035,0.773,0.546,0.003,,,,,,,,,
6696,Seychelles,0.245,0.461,0.553,-0.218,-0.059,0.314,0.58,0.497,-0.035,0.305,0.446,0.032,0.082,0.377,0.304,-0.022,0.466,0.836,0.161,0.241,0.605,0.404,0.604,0.282,0.505,0.492,0.825,0.392,0.605,0.831,0.741,0.738,0.585,0.698
6730,Sierra Leone,0.211,0.287,0.509,0.336,0.243,-0.101,0.722,0.614,0.169,0.48,0.573,0.209,0.519,0.438,0.413,0.551,0.625,0.827,0.481,,0.849,1.013,0.75,0.963,1.129,1.044,0.74,1.134,0.742,1.22,1.03,0.365,0.929,0.903
6764,Singapore,0.402,0.29,0.715,-0.198,0.218,0.346,0.541,0.453,0.182,,,,,,,,,,,,,,,,,,,,,,,,,
6798,Slovakia,,,,,,,,,,,,,0.032,1.687,0.682,-0.423,-0.256,1.024,0.769,1.626,1.241,1.38,0.653,0.549,0.397,0.627,2.147,1.53,1.496,0.68,0.84,1.57,0.948,2.315
6832,Slovenia,,,,,,,,,,,,1.169,0.576,1.883,0.814,-0.1,0.484,1.379,0.885,1.8,1.724,1.525,1.46,0.765,0.517,0.904,2.205,1.612,1.667,0.808,1.391,1.967,1.27,2.474
6866,Solomon Islands,0.476,-0.069,0.27,0.244,0.113,-0.04,-0.2,0.418,0.096,0.246,0.071,0.004,-0.18,-0.001,0.575,0.34,0.244,0.652,0.238,0.52,,,0.438,0.398,0.627,0.377,0.583,,0.256,0.52,0.287,0.223,0.59,0.655
6900,Somalia,-0.1,0.281,0.566,0.053,0.123,0.209,0.981,0.85,0.04,0.248,0.375,0.683,0.301,0.652,0.601,0.781,0.591,0.75,0.496,0.536,0.955,0.948,1.18,0.566,1.141,0.924,1.078,0.72,1.426,1.221,1.159,1.15,1.252,1.298
6934,South Africa,-0.339,0.212,0.7,0.527,0.649,0.451,0.725,0.327,-0.043,0.316,0.365,0.805,0.839,0.218,0.642,-0.145,0.232,0.83,1.084,0.271,0.52,0.481,0.853,0.948,1.059,0.384,0.773,0.607,0.703,1.094,0.455,0.52,0.647,0.77
6968,South Georgia and the South Sandwich Islands,0.412,,,-0.279,0.054,0.37,-0.722,0.275,0.717,0.479,-0.033,-0.045,0.612,-0.439,0.152,0.498,-0.08,,,,0.356,-0.759,0.768,,0.029,0.733,0.154,0.699,0.304,0.919,0.75,0.076,-0.189,0.072
7002,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.346,0.906,1.17,0.782
7036,Spain,0.321,0.692,0.529,-0.185,0.464,0.232,0.694,0.762,1.002,1.412,0.171,0.273,-0.095,0.997,1.387,0.655,1.467,1.116,0.741,0.742,1.344,0.743,1.529,0.927,0.824,1.459,0.767,0.8,1.286,0.835,1.539,0.958,0.818,1.517
7070,Sri Lanka,0.276,0.264,0.765,0.101,0.207,0.302,0.784,0.802,0.305,0.67,0.632,0.33,0.331,0.396,0.707,0.53,0.688,1.309,0.487,0.595,0.854,1.009,0.922,0.842,0.916,0.679,0.665,0.581,0.815,1.177,0.85,1.0,0.958,1.052
7104,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.97,1.08,0.863
7138,Sudan (former),0.215,0.291,0.104,0.559,0.327,0.446,0.691,0.439,-0.151,0.465,0.437,-0.228,0.32,0.267,0.489,0.621,0.435,0.684,0.536,0.464,0.33,1.075,0.815,0.951,1.077,0.972,0.218,0.69,1.412,1.463,,,,
7172,Suriname,0.245,0.107,0.389,-0.247,-0.076,0.034,0.632,0.489,0.115,0.284,0.287,0.532,0.375,0.448,0.969,0.313,0.611,1.281,0.529,0.495,0.532,0.766,0.999,1.026,1.307,0.845,0.853,0.94,1.235,1.322,0.887,0.96,1.296,1.357
7206,Svalbard and Jan Mayen Islands,-1.065,-0.656,0.046,1.895,1.789,-0.357,0.2,-2.108,-0.769,1.631,1.316,0.957,0.013,0.059,0.471,1.185,-0.321,0.174,2.067,1.976,1.387,1.617,0.843,0.737,2.447,3.885,3.05,1.84,1.906,2.272,2.106,3.825,2.271,3.382
7240,Sweden,-0.223,-0.129,0.917,0.589,-1.028,-0.488,-1.196,0.731,2.002,1.697,1.028,1.378,0.813,0.201,1.27,-0.153,0.99,0.569,1.369,1.729,1.078,1.571,0.92,1.201,1.828,1.492,1.94,1.965,1.438,-0.274,1.278,1.322,0.863,2.711
7274,Switzerland,-0.023,0.572,0.859,-0.34,-0.336,0.232,-0.021,0.904,1.126,1.401,0.306,0.948,0.544,1.842,0.984,0.015,1.05,1.097,0.969,1.409,1.437,1.247,1.837,0.961,0.796,1.082,1.798,1.19,1.359,0.433,1.649,1.486,0.753,2.128
7308,Syrian Arab Republic,0.15,-0.532,-0.847,0.004,-0.029,0.405,-0.18,-0.211,0.377,0.188,0.477,-1.125,-0.571,1.278,0.17,0.462,-0.112,1.156,1.286,0.673,1.166,0.879,0.556,0.665,0.258,1.05,0.823,1.073,0.705,2.495,0.691,1.076,1.342,1.147
7342,Tajikistan,,,,,,,,,,,,-0.235,-0.122,0.469,0.391,-0.349,1.369,0.829,1.152,1.027,1.488,1.25,0.526,1.308,0.789,1.565,1.202,0.948,0.824,1.326,1.481,0.007,1.285,0.539
7376,Thailand,0.321,0.156,0.466,0.118,0.319,0.103,0.78,0.308,0.341,0.55,0.679,0.388,0.325,0.379,0.705,0.267,0.424,1.466,0.462,0.088,0.69,0.698,0.835,0.571,0.912,0.709,0.576,0.43,0.529,1.321,0.289,0.95,1.161,0.744
7410,Timor-Leste,0.734,-0.393,0.404,0.172,0.569,0.242,,,,-0.758,,,,,0.529,0.54,0.283,1.16,0.311,,,,0.64,0.706,1.306,0.395,0.638,0.351,0.785,0.989,0.024,,0.555,0.645
7444,Togo,0.199,0.208,0.71,0.596,0.42,0.274,1.022,0.671,0.139,0.665,0.313,0.115,0.529,0.502,0.546,0.676,0.656,1.167,0.682,0.638,0.78,0.844,1.115,0.853,1.061,1.09,0.982,0.838,1.009,1.378,0.998,0.701,0.902,1.077
7478,Tokelau,0.409,0.385,0.281,0.223,0.361,0.425,0.527,0.248,0.197,0.627,1.1,,,,,,,,,,,,,,,,,,,,,,,
7512,Tonga,0.209,0.244,0.143,0.35,0.259,-0.109,-0.163,0.773,0.414,0.34,0.304,0.177,-0.097,0.211,0.484,0.312,0.235,0.285,0.202,0.355,0.637,0.735,0.36,0.416,0.54,0.321,0.601,0.056,0.127,0.672,0.366,0.455,0.586,0.433
7546,Trinidad and Tobago,0.335,0.061,0.276,-0.095,-0.538,-0.279,0.443,0.269,-0.292,0.057,0.192,0.217,0.507,0.373,0.7,0.481,0.578,1.127,0.634,0.527,0.68,0.496,0.777,0.359,0.974,0.53,0.433,0.34,0.509,1.196,0.534,0.596,0.784,0.704
7580,Tunisia,0.107,0.839,0.252,-0.095,0.42,0.464,0.614,1.324,0.485,1.407,-0.06,-0.006,0.641,1.333,0.643,0.577,1.208,0.952,1.722,0.99,1.969,1.231,1.707,0.942,1.075,1.297,1.418,1.408,0.905,1.821,1.095,1.68,1.544,1.88
7614,Türkiye,0.396,-0.227,-0.452,0.331,-0.078,0.415,-0.412,-0.32,0.334,-0.068,0.2,-1.27,-0.851,1.171,0.116,0.242,-0.031,0.977,1.202,0.484,1.475,0.747,0.251,0.548,0.385,0.833,0.93,0.808,0.643,2.348,0.354,0.93,1.317,1.29
7648,Turkmenistan,,,,,,,,,,,,-0.108,-0.196,0.235,1.35,-0.091,1.327,0.915,1.253,1.255,1.488,1.76,0.071,1.614,1.266,1.659,1.082,0.713,1.029,1.858,1.063,0.745,1.604,0.673
7682,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7716,Tuvalu,0.085,-0.021,0.007,0.115,0.264,0.488,-0.009,0.078,-0.136,0.208,0.541,0.218,0.052,,0.473,0.44,0.489,0.271,0.468,0.577,0.842,0.865,0.652,0.723,0.839,0.69,0.786,0.391,0.713,0.978,0.855,0.661,0.732,0.696
7750,Uganda,0.583,0.577,0.856,0.428,0.243,0.402,0.766,0.607,0.063,0.417,0.309,0.325,0.079,0.343,0.51,0.51,0.559,0.44,0.109,0.345,0.457,0.909,0.877,0.564,0.966,0.558,0.09,0.717,1.153,1.304,1.115,0.709,0.764,0.799
7784,Ukraine,,,,,,,,,,,,0.459,-0.741,1.149,0.949,-0.414,-0.336,0.73,1.157,1.425,1.795,1.539,-0.268,0.918,1.01,0.26,2.365,1.608,1.594,1.635,0.564,1.938,1.501,1.691
7818,United Arab Emirates,0.355,-0.328,-0.699,-0.159,0.23,0.294,0.269,0.325,-0.169,0.364,-0.156,-0.579,0.072,0.482,-0.125,0.391,-0.222,1.015,1.351,0.72,0.592,1.137,1.046,1.011,0.679,1.211,0.757,0.717,0.862,1.456,1.133,1.095,0.756,0.935
7852,United Kingdom of Great Britain and Northern Ireland,0.165,0.106,0.337,0.325,-0.533,-0.605,-0.294,0.299,1.137,1.006,0.199,0.512,-0.023,0.406,1.11,-0.151,0.873,0.853,1.125,0.713,0.622,1.002,1.185,1.026,1.11,1.243,1.327,0.835,0.947,-0.054,0.847,0.574,0.373,1.739
7886,United Republic of Tanzania,0.395,0.462,0.754,0.151,0.12,0.259,0.679,0.739,-0.045,0.216,0.362,0.37,0.024,0.437,0.39,0.272,0.652,0.579,-0.287,0.571,0.468,0.672,1.059,0.926,0.993,0.816,0.76,0.447,0.898,1.006,0.726,0.834,0.863,0.805
7920,United States of America,0.871,-0.34,0.533,-0.229,-0.027,0.578,0.904,0.463,0.319,0.665,0.52,0.387,0.002,0.461,0.626,-0.011,0.39,1.264,0.749,0.992,0.78,0.946,0.987,0.86,1.149,1.023,1.141,0.21,0.396,0.69,0.534,1.445,0.613,0.5
7954,United States Virgin Islands,0.542,0.088,0.56,0.196,0.018,0.094,0.527,0.503,-0.026,0.343,0.309,0.221,0.456,0.603,0.65,0.367,0.513,1.115,0.597,0.181,0.639,0.818,0.89,0.529,0.796,0.651,0.914,0.393,0.67,1.085,0.461,0.652,0.784,0.918
7988,Uruguay,0.517,0.576,-0.051,0.105,0.429,0.76,0.322,-0.517,0.73,0.571,0.312,0.145,0.277,0.44,0.307,0.492,1.135,0.142,0.112,0.364,1.266,0.634,0.325,0.468,0.821,0.618,0.162,0.746,0.531,0.302,0.497,0.898,0.2,1.212
8022,USSR,0.793,0.068,0.978,0.304,-0.634,0.299,-0.61,0.458,0.987,1.233,0.636,,,,,,,,,,,,,,,,,,,,,,,
8056,Uzbekistan,,,,,,,,,,,,0.132,-0.206,-0.013,1.409,-0.429,1.554,0.506,1.321,1.411,1.578,1.852,0.157,1.942,1.387,1.586,1.392,0.721,1.078,1.8,1.061,0.691,1.537,0.193
8090,Vanuatu,0.062,-0.019,0.221,-0.042,0.423,-0.128,-0.201,0.652,0.092,0.318,-0.035,-0.061,-0.368,-0.076,0.285,0.381,0.235,0.851,0.885,0.53,0.598,0.553,0.204,0.351,0.444,0.282,0.819,0.68,0.421,0.832,0.654,0.342,0.649,0.554
8124,Venezuela (Bolivarian Republic of),0.183,0.116,0.436,-0.112,-0.311,-0.145,0.422,0.004,-0.315,0.315,0.218,0.264,0.381,0.172,0.624,0.45,0.524,0.945,0.203,0.151,0.482,0.686,0.765,0.514,0.758,0.545,0.624,0.396,0.714,1.139,0.484,0.436,0.857,0.806
8158,Viet Nam,0.452,0.178,0.041,-0.148,-0.048,0.058,1.018,0.157,0.003,0.375,0.565,0.04,0.294,0.326,0.361,0.023,0.339,1.342,0.804,0.182,0.728,0.757,1.127,0.482,0.907,0.969,0.597,0.293,0.76,1.176,0.196,0.818,0.992,0.638
8192,Wake Island,0.759,0.384,-0.065,1.294,0.756,0.069,0.068,0.488,-0.054,-0.083,0.371,0.152,0.409,0.213,0.357,1.007,0.299,0.425,0.496,-0.028,0.301,0.564,0.375,0.529,0.014,0.171,-0.136,-0.111,0.17,0.077,0.032,0.235,0.849,1.002
8226,Wallis and Futuna Islands,0.155,0.126,0.101,0.063,0.145,-0.026,0.059,0.439,0.11,0.232,0.032,-0.054,-0.197,-0.052,0.487,0.406,0.242,0.544,0.41,0.582,0.819,0.817,0.484,0.545,0.704,0.502,0.78,0.204,0.254,0.847,0.635,0.617,0.683,0.606
8260,Western Sahara,0.602,0.323,0.749,0.41,0.691,0.19,1.076,0.441,0.659,1.282,0.467,0.451,0.23,0.798,1.226,1.274,1.42,1.265,0.935,0.865,1.255,1.179,1.349,1.47,1.092,1.317,0.851,1.355,0.895,1.819,1.432,1.234,1.282,1.244
8294,Yemen,0.047,-0.04,0.089,0.312,0.576,-0.101,0.02,0.992,0.391,0.451,,,,,,,0.061,,,,,,,,,,,,,,,,,
8328,Yugoslav SFR,-0.165,0.22,0.486,-0.258,-0.483,0.425,-0.169,0.494,0.414,1.004,-0.111,,,,,,,,,,,,,,,,,,,,,,,
8362,Zambia,-0.112,0.398,1.093,0.608,0.24,0.101,1.011,0.701,0.216,0.875,0.29,0.854,0.189,0.546,0.865,0.912,0.674,1.215,0.418,0.311,0.501,0.956,1.159,0.801,1.339,0.61,1.075,0.446,0.577,1.481,0.965,0.926,0.746,0.638
8396,Zimbabwe,-0.328,0.214,1.266,0.53,0.077,0.069,1.103,0.489,0.232,0.627,0.317,1.195,0.512,-0.043,0.678,-0.157,0.057,0.876,0.09,-0.34,0.03,0.438,0.377,0.042,1.065,-0.346,0.038,0.016,-0.336,0.918,0.22,0.329,0.102,-0.008
8430,World,0.443,0.084,0.459,0.124,-0.03,0.242,0.4,0.56,0.335,0.645,0.47,0.187,0.352,0.51,0.839,0.367,0.66,0.996,0.787,0.732,0.833,1.018,0.89,0.908,1.09,0.982,1.181,0.92,0.944,1.205,0.907,1.058,1.007,1.042
8464,Africa,0.135,0.257,0.455,0.368,0.328,0.321,0.72,0.658,0.036,0.604,0.423,0.137,0.421,0.44,0.598,0.579,0.582,0.977,0.671,0.498,0.696,0.927,1.035,0.858,1.092,0.903,0.792,0.726,0.971,1.502,0.938,0.762,1.017,1.019
8498,Eastern Africa,0.087,0.247,0.659,0.287,0.157,0.165,0.694,0.687,0.057,0.398,0.34,0.511,0.191,0.401,0.578,0.458,0.529,0.768,0.25,0.436,0.579,0.804,0.93,0.678,1.04,0.708,0.728,0.544,0.92,1.147,0.906,0.873,0.856,0.831
8532,Middle Africa,0.105,0.224,0.426,0.404,0.283,0.382,0.627,0.498,-0.032,0.443,0.477,-0.027,0.29,0.429,0.544,0.352,0.409,1.062,0.554,0.465,0.416,0.871,0.949,0.86,1.073,0.919,0.766,0.629,0.974,1.261,0.84,0.531,1.0,0.92
8566,Northern Africa,0.142,0.201,0.044,0.127,0.335,0.275,0.506,0.786,0.08,0.714,0.248,-0.3,0.328,0.532,0.488,0.655,0.627,0.857,1.006,0.496,1.098,1.043,1.104,0.882,0.975,1.046,0.728,0.923,1.025,1.938,1.096,0.992,1.141,1.309
8600,Southern Africa,-0.222,0.322,0.804,0.611,0.563,0.435,0.992,0.426,-0.11,0.608,0.324,0.862,0.821,0.255,0.939,-0.023,0.235,1.105,1.022,0.094,0.459,0.736,1.097,0.833,1.107,0.081,0.732,0.646,0.539,1.267,0.306,0.557,0.962,0.727
8634,Western Africa,0.363,0.352,0.694,0.64,0.441,0.434,1.027,0.722,0.091,0.833,0.739,0.219,0.748,0.445,0.684,1.104,0.897,1.211,0.613,0.781,0.667,1.038,1.11,1.019,1.322,1.247,1.001,0.78,1.134,1.626,1.195,0.681,1.082,1.093
8668,Americas,0.69,-0.092,0.449,0.072,-0.006,0.284,0.829,0.555,0.178,0.375,0.417,0.245,0.273,0.51,0.717,0.197,0.574,1.421,0.805,0.727,0.834,0.766,0.955,0.653,1.011,1.198,0.906,0.555,0.668,1.292,0.838,1.319,0.823,0.698
8702,Northern America,1.196,-0.507,0.47,0.036,-0.145,0.297,1.108,0.837,0.145,0.361,0.421,0.224,0.158,0.459,0.774,-0.045,0.42,1.872,1.221,1.146,1.107,0.759,1.149,0.697,1.24,1.7,1.247,0.548,0.481,1.837,1.01,1.802,0.918,0.42
8736,Central America,0.139,0.538,0.13,-0.09,0.072,0.237,-0.04,0.191,0.382,0.255,0.293,0.136,0.294,0.661,0.769,0.45,0.527,0.757,0.522,0.488,0.487,0.689,0.812,0.362,0.749,0.824,0.487,0.483,0.986,0.354,0.889,0.84,0.765,0.806
8770,Caribbean,0.226,0.477,0.45,0.293,0.214,0.319,0.786,0.643,0.511,0.762,0.736,0.498,0.53,0.939,0.945,0.348,0.87,1.145,0.815,0.547,0.627,0.865,0.996,0.653,0.759,0.773,0.883,0.508,0.731,0.82,0.443,0.575,0.823,0.976
8804,South America,0.211,0.277,0.468,0.131,0.136,0.275,0.639,0.292,0.181,0.401,0.425,0.28,0.394,0.542,0.643,0.428,0.75,1.013,0.378,0.293,0.579,0.783,0.757,0.645,0.796,0.694,0.583,0.573,0.834,0.814,0.642,0.847,0.724,0.993
8838,Asia,0.21,0.116,-0.014,-0.121,0.015,0.058,0.411,0.431,0.263,0.526,0.395,-0.061,0.075,0.527,0.622,0.181,0.615,1.047,1.088,0.679,1.016,1.167,0.648,1.088,0.863,1.104,1.185,0.875,1.075,1.253,0.702,0.697,1.054,0.91
8872,Central Asia,,,,,,,,,,,,0.184,-0.311,0.024,1.747,-0.369,1.74,0.574,1.328,1.419,1.602,2.07,0.156,2.003,1.457,1.5,1.913,1.311,1.133,1.427,0.865,0.961,1.581,0.603
8906,Eastern Asia,0.178,0.474,0.196,-0.188,-0.148,-0.018,0.392,0.414,0.562,0.955,0.593,0.226,0.286,0.819,0.649,0.214,0.874,1.368,1.277,0.613,1.087,1.182,0.747,1.181,1.0,1.169,1.654,1.146,1.3,0.848,0.751,0.538,1.019,1.14
8940,Southern Asia,0.272,-0.132,-0.16,-0.066,0.183,0.066,0.467,0.598,-0.02,0.247,0.128,-0.281,0.124,0.302,0.306,0.18,0.103,0.711,0.86,0.63,0.815,1.058,0.654,0.887,0.554,1.075,0.656,0.514,1.077,1.429,0.728,0.56,0.839,0.617
8974,South-eastern Asia,0.257,0.081,0.373,-0.022,0.175,0.1,0.607,0.391,0.168,0.289,0.403,0.261,0.239,0.349,0.466,0.336,0.385,1.167,0.458,0.246,0.601,0.659,0.721,0.563,0.802,0.615,0.53,0.35,0.642,0.999,0.367,0.675,0.899,0.765
9008,Western Asia,0.156,-0.387,-0.703,-0.127,0.023,0.193,0.191,0.264,0.018,0.085,0.27,-1.054,-0.389,0.739,0.17,0.442,0.002,1.024,1.369,0.703,1.03,0.992,0.751,0.858,0.494,1.114,0.761,0.857,0.856,2.178,0.729,1.124,1.17,1.187
9042,Europe,0.651,0.102,0.926,0.265,-0.614,0.245,-0.575,0.482,1.028,1.249,0.589,0.47,0.749,0.696,1.828,0.566,1.092,0.182,0.582,1.337,0.944,1.496,0.96,1.272,1.525,0.665,2.298,2.011,1.226,0.804,1.535,1.78,1.106,1.825
9076,Eastern Europe,0.771,0.071,0.981,0.293,-0.649,0.297,-0.617,0.456,0.992,1.236,0.617,0.396,0.837,0.649,1.994,0.69,1.144,0.044,0.47,1.342,0.884,1.576,0.905,1.337,1.616,0.544,2.46,2.16,1.212,0.898,1.601,1.906,1.165,1.762
9110,Northern Europe,-0.238,-0.075,0.642,0.531,-0.778,-0.41,-0.897,0.509,1.663,1.328,0.852,1.081,0.58,0.24,1.197,-0.074,0.82,0.485,1.225,1.486,0.996,1.326,0.94,1.174,1.629,1.328,1.77,1.7,1.362,0.025,1.189,1.153,0.871,2.374
9144,Southern Europe,0.036,0.444,0.353,-0.255,0.14,0.323,0.287,0.643,0.614,1.143,0.048,0.316,0.072,1.24,0.79,0.323,0.878,1.011,0.748,0.991,1.409,0.795,1.284,0.747,0.562,1.009,1.205,0.984,1.235,0.952,1.237,1.261,1.033,1.532
9178,Western Europe,0.172,0.619,0.865,-0.116,-0.545,0.01,-0.246,0.808,1.328,1.535,0.241,0.911,0.328,1.596,1.274,-0.209,0.9,1.038,1.232,1.424,1.341,1.24,1.543,0.952,0.968,1.234,1.705,1.214,1.228,0.297,1.328,1.269,0.642,2.216
9212,Oceania,0.45,0.134,0.561,-0.148,0.315,0.35,0.327,0.897,0.164,0.523,0.745,0.247,0.427,0.195,0.401,0.571,0.335,1.056,0.565,0.152,0.339,0.697,0.779,0.65,1.125,0.65,0.841,0.572,0.915,0.647,0.192,0.258,1.398,1.096
9246,Australia and New Zealand,0.464,0.151,0.578,-0.174,0.325,0.358,0.331,0.917,0.152,0.535,0.778,0.235,0.437,0.189,0.388,0.57,0.347,1.059,0.575,0.129,0.32,0.697,0.788,0.676,1.157,0.673,0.866,0.581,0.955,0.623,0.173,0.252,1.441,1.143
9280,Melanesia,0.243,-0.128,0.318,0.237,0.169,0.232,0.268,0.609,0.334,0.345,0.257,0.415,0.271,0.267,0.591,0.592,0.168,1.016,0.419,0.487,0.625,0.697,0.639,0.274,0.663,0.305,0.479,0.43,0.324,1.002,0.466,0.326,0.773,0.405
9314,Micronesia,0.261,0.2,0.217,0.127,0.097,0.344,0.28,0.344,0.146,0.416,0.235,0.234,0.016,0.282,0.431,0.421,0.28,0.582,0.167,0.319,0.485,0.478,0.539,0.544,0.408,0.558,0.595,0.336,0.581,0.533,0.476,0.723,0.867,0.884
9348,Polynesia,0.079,0.234,0.201,0.271,0.129,0.197,0.246,0.414,0.109,0.366,0.432,0.383,0.084,0.385,0.611,0.395,0.296,0.557,0.35,0.459,0.678,0.917,0.641,0.37,0.698,0.599,0.811,0.345,0.665,0.845,0.384,0.636,0.667,0.546
9382,European Union (27),0.081,0.309,0.759,0.056,-0.529,0.035,-0.43,0.646,1.261,1.374,0.36,0.799,0.262,1.138,1.106,-0.101,0.697,0.858,1.056,1.423,1.339,1.194,1.034,0.892,1.004,1.098,1.686,1.403,1.33,0.5,1.141,1.332,0.907,2.062
9416,Least Developed Countries,0.217,0.252,0.491,0.412,0.326,0.311,0.722,0.634,0.056,0.544,0.49,0.162,0.369,0.403,0.581,0.603,0.546,0.967,0.508,0.555,0.579,0.941,0.953,0.879,1.11,0.987,0.744,0.637,1.041,1.368,0.976,0.725,1.015,0.922
9450,Land Locked Developing Countries,0.164,0.425,0.518,0.373,0.244,0.449,0.702,0.558,0.179,0.713,0.617,0.21,0.247,0.437,0.965,0.348,1.006,0.966,0.855,0.762,0.908,1.283,0.679,1.192,1.169,1.111,1.198,0.814,1.027,1.227,0.915,0.72,1.079,0.868
9484,Small Island Developing States,0.226,0.106,0.383,0.054,0.052,0.168,0.456,0.552,0.271,0.447,0.379,0.386,0.335,0.468,0.778,0.495,0.528,1.132,0.509,0.54,0.659,0.829,0.819,0.594,0.881,0.59,0.692,0.555,0.68,0.997,0.585,0.572,0.879,0.796
9518,Low Income Food Deficit Countries,0.198,0.192,0.361,0.317,0.267,0.288,0.672,0.608,0.013,0.439,0.431,0.092,0.346,0.359,0.497,0.511,0.482,0.866,0.53,0.57,0.588,0.936,0.859,0.864,0.992,0.971,0.727,0.603,1.074,1.331,0.886,0.65,0.925,0.839
9552,Net Food Importing Developing Countries,0.182,0.263,0.475,0.31,0.254,0.269,0.67,0.598,0.098,0.579,0.47,0.228,0.382,0.472,0.636,0.513,0.594,1.043,0.614,0.518,0.655,0.964,0.924,0.888,1.019,0.91,0.836,0.709,1.007,1.325,0.881,0.697,0.996,0.96
9586,Annex I countries,0.808,-0.112,0.692,0.118,-0.302,0.274,0.157,0.654,0.579,0.814,0.555,0.31,0.407,0.502,1.214,0.289,0.761,0.958,0.863,1.079,0.947,1.132,0.948,1.01,1.352,1.082,1.671,1.218,0.899,1.202,1.082,1.51,1.109,1.141
9620,Non-Annex I countries,0.179,0.224,0.29,0.127,0.164,0.219,0.574,0.492,0.158,0.521,0.408,0.101,0.314,0.515,0.577,0.418,0.587,1.021,0.734,0.491,0.752,0.939,0.849,0.836,0.909,0.912,0.842,0.711,0.975,1.205,0.779,0.743,0.934,0.972
9654,OECD,0.788,-0.175,0.495,0.0,-0.062,0.248,0.643,0.742,0.33,0.515,0.492,0.266,0.241,0.497,0.704,0.128,0.452,1.451,1.013,0.869,0.891,0.774,0.99,0.695,1.126,1.302,1.12,0.655,0.718,1.244,0.801,1.277,0.998,0.835
